k,mu,c,n,D1,D2,D3,D4,multiplicity_test
145,60,87,834,4386,19049076,34437275496,40382101103184,nonconstant_conjugate_multiplicity
145,60,102,784,4436,19490176,36786576896,1133021753344,nonconstant_conjugate_multiplicity
145,72,73,726,4494,20008116,29530918872,71072358914448,noninteger_multiplicity
145,80,87,602,4618,21138004,28668931912,37335962646352,nonconstant_conjugate_multiplicity
145,87,87,546,4674,21658356,25342745832,29730315884688,nonconstant_conjugate_multiplicity
145,87,96,531,4689,21798801,26082623457,11008230905493,nonconstant_conjugate_multiplicity
146,58,73,952,4304,18335200,32003855360,69200944414720,nonconstant_conjugate_multiplicity
146,58,88,877,4379,18986425,35413257635,38465522866345,nonconstant_conjugate_multiplicity
146,73,73,727,4529,20322625,29911621985,73721626408645,nonconstant_conjugate_multiplicity
147,42,49,1754,3538,12326932,15495944680,27299348687440,nonconstant_conjugate_multiplicity
147,42,73,1394,3898,15003892,27507484360,31457849865040,nonconstant_conjugate_multiplicity
147,49,49,1462,3830,14478388,19942059320,56628988424464,nonconstant_conjugate_multiplicity
147,49,73,1174,4118,16767412,30867819704,53885084411920,nonconstant_conjugate_multiplicity
147,49,84,1097,4195,17407513,34130222155,34868579255029,nonconstant_conjugate_multiplicity
147,49,98,1024,4268,18025312,37360911104,1003850782720,nonconstant_conjugate_multiplicity
147,73,74,736,4556,20566624,30770567936,75096568453120,noninteger_multiplicity
147,73,84,701,4591,20886769,32476738591,54495475684885,nonconstant_conjugate_multiplicity
147,73,98,664,4628,21227872,34317101312,19842803630080,nonconstant_conjugate_multiplicity
148,37,49,2069,3259,10429273,11016492211,1650165017941,nonconstant_conjugate_multiplicity
148,37,63,1773,3555,12446217,19187305515,14124857438349,nonconstant_conjugate_multiplicity
148,37,74,1619,3709,13564873,24167580661,9617252151241,nonconstant_conjugate_multiplicity
148,42,53,1703,3625,12948817,17934009625,32065693545949,nonconstant_conjugate_multiplicity
148,42,74,1409,3919,15166753,28080610831,30672119451001,nonconstant_conjugate_multiplicity
148,49,54,1407,3921,15182433,22927439745,62294735621097,nonconstant_conjugate_multiplicity
148,49,66,1259,4069,16364953,28604520685,62252870368393,nonconstant_conjugate_multiplicity
148,49,74,1187,4141,16956073,31558498885,53766217638217,nonconstant_conjugate_multiplicity
148,74,74,737,4591,20885473,31161802735,77856849050617,nonconstant_conjugate_multiplicity
148,74,84,702,4626,21208068,32891692680,57088591780752,nonconstant_conjugate_multiplicity
148,74,98,665,4663,21551761,34757409799,22080931010425,nonconstant_conjugate_multiplicity
149,37,56,1938,3426,11544372,15237052776,9377229170160,nonconstant_conjugate_multiplicity
149,37,64,1789,3575,12587521,19628984375,13303665043837,nonconstant_conjugate_multiplicity
149,74,75,746,4618,21132820,32044431304,79289290955728,noninteger_multiplicity
150,50,50,1492,3908,15078064,21192552512,61407829540096,nonconstant_conjugate_multiplicity
150,50,60,1343,4057,16264849,26815345993,69196113886921,nonconstant_conjugate_multiplicity
150,50,75,1194,4206,17496036,32978556216,57688439307696,nonconstant_conjugate_multiplicity
150,50,100,1045,4355,18771625,39702030875,1085740035625,nonconstant_conjugate_multiplicity
