k,mu,c,n,D1,D2,D3,D4,multiplicity_test
168,84,84,837,5211,26936793,45630147555,129438714330657,nonconstant_conjugate_multiplicity
169,52,54,1899,4185,17295201,24998448825,66496766894397,nonconstant_conjugate_multiplicity
169,52,63,1730,4354,18738292,32291162344,84815340720208,nonconstant_conjugate_multiplicity
169,52,78,1535,4549,20474377,41634818029,83635933882333,nonconstant_conjugate_multiplicity
169,52,91,1418,4666,21552532,47736334216,59388490498000,nonconstant_conjugate_multiplicity
169,78,91,898,5186,26675572,50266798568,115545854147920,nonconstant_conjugate_multiplicity
169,78,98,872,5212,26945920,51927864832,91942039945216,nonconstant_conjugate_multiplicity
169,84,85,846,5238,27217620,46767315384,131536653070608,noninteger_multiplicity
169,91,104,716,5368,28596400,47147959936,62778175333888,nonconstant_conjugate_multiplicity
169,91,117,690,5394,28876212,48885627816,13675465028304,nonconstant_conjugate_multiplicity
169,104,105,612,5472,29723760,38742022656,38345366221056,noninteger_multiplicity
170,65,65,1327,4793,22752529,40817039417,148673809411141,nonconstant_conjugate_multiplicity
170,65,70,1276,4844,23244016,43632116864,147016395990016,nonconstant_conjugate_multiplicity
170,65,78,1208,4912,23907424,47503283968,136907871235072,nonconstant_conjugate_multiplicity
170,65,85,1159,4961,24391201,50377174001,121947168935221,nonconstant_conjugate_multiplicity
170,65,91,1123,4997,24749689,52534105613,105437593311613,nonconstant_conjugate_multiplicity
170,65,102,1068,5052,25302384,55904542848,68082933058560,nonconstant_conjugate_multiplicity
170,65,105,1055,5065,25433905,56714552425,56561452505125,nonconstant_conjugate_multiplicity
170,85,85,847,5273,27584209,47283882137,135729090455221,nonconstant_conjugate_multiplicity
171,45,51,2414,3742,13780948,14468622616,1876977615184,nonconstant_conjugate_multiplicity
171,45,57,2246,3910,15066484,20144648440,21202308036112,nonconstant_conjugate_multiplicity
171,45,63,2110,4046,16148500,25223168600,33990535944400,nonconstant_conjugate_multiplicity
171,45,68,2015,4141,16926265,29036132965,39953194520365,nonconstant_conjugate_multiplicity
171,45,76,1889,4267,17985673,34440121891,41530094152309,nonconstant_conjugate_multiplicity
171,45,84,1787,4369,18866545,39111921505,34588691294125,nonconstant_conjugate_multiplicity
171,51,57,1942,4214,17536180,26547610040,65371097637520,nonconstant_conjugate_multiplicity
171,51,60,1882,4274,18045460,29102264360,72289929905200,nonconstant_conjugate_multiplicity
171,51,72,1692,4464,19705680,37807223040,82863217105920,nonconstant_conjugate_multiplicity
171,51,75,1654,4502,20046388,39662926136,81816496558288,nonconstant_conjugate_multiplicity
171,51,76,1642,4514,20154580,40257025640,81181780026160,nonconstant_conjugate_multiplicity
171,51,80,1597,4559,20562865,42519718655,77307054477925,nonconstant_conjugate_multiplicity
171,51,90,1502,4654,21438100,47479084120,59351868708400,nonconstant_conjugate_multiplicity
171,51,95,1462,4694,21812020,49642335800,46583046706000,nonconstant_conjugate_multiplicity
171,51,100,1426,4730,22151284,51627779720,31663234271920,nonconstant_conjugate_multiplicity
171,57,57,1702,4454,19616500,31437490040,103843489730320,nonconstant_conjugate_multiplicity
171,57,60,1651,4505,20073409,33855836345,109864920411085,nonconstant_conjugate_multiplicity
171,57,68,1537,4619,21113545,39516953795,116938501962325,nonconstant_conjugate_multiplicity
171,57,76,1447,4709,21953065,44240230925,113127880901965,nonconstant_conjugate_multiplicity
171,57,85,1366,4790,22722484,48686728760,98589135533200,nonconstant_conjugate_multiplicity
171,57,90,1328,4828,23087968,50837526784,86686020438016,nonconstant_conjugate_multiplicity
171,57,95,1294,4862,23417428,52797372056,72474907050448,nonconstant_conjugate_multiplicity
171,57,102,1252,4904,23827600,55264941440,49218124049920,nonconstant_conjugate_multiplicity
171,57,114,1192,4964,24419680,58880188160,1807223111680,nonconstant_conjugate_multiplicity
171,85,86,856,5300,27868384,48448275200,137903100461056,noninteger_multiplicity
171,85,114,772,5384,28765840,54048037760,36402905996800,nonconstant_conjugate_multiplicity
171,95,102,706,5450,29480884,46600137800,73543079957872,nonconstant_conjugate_multiplicity
171,95,114,682,5474,29743060,48240500840,29086751417200,nonconstant_conjugate_multiplicity
171,102,115,628,5528,30337168,43475110784,15996080962816,nonconstant_conjugate_multiplicity
172,43,57,2405,3787,14118457,17378425603,3217113194965,nonconstant_conjugate_multiplicity
172,43,76,2018,4174,17199364,32014062424,25732452500944,nonconstant_conjugate_multiplicity
172,43,86,1883,4309,18344569,37984184029,17517898296889,nonconstant_conjugate_multiplicity
172,57,60,1678,4514,20153284,33950570408,109922847865168,nonconstant_conjugate_multiplicity
172,57,69,1549,4643,21334537,40405359275,118025897086405,nonconstant_conjugate_multiplicity
172,57,86,1379,4813,22942057,49621765285,98400102564985,nonconstant_conjugate_multiplicity
172,57,92,1334,4858,23377252,52199890120,83381351045200,nonconstant_conjugate_multiplicity
172,76,86,992,5200,26817088,51866214400,143345280090112,nonconstant_conjugate_multiplicity
172,76,96,947,5245,27287113,54780337765,111286344405697,nonconstant_conjugate_multiplicity
172,76,108,904,5288,27740032,57624478208,64744225853440,nonconstant_conjugate_multiplicity
172,86,86,857,5335,28239313,48977097895,142245997556137,nonconstant_conjugate_multiplicity
172,86,114,773,5419,29142649,54643423987,39922151958793,nonconstant_conjugate_multiplicity
173,43,65,2250,3978,15600276,23927908680,17375187145680,nonconstant_conjugate_multiplicity
173,86,87,866,5362,28526836,50169038248,144497895799120,noninteger_multiplicity
174,58,58,1732,4532,20313520,33126454592,111341672709376,nonconstant_conjugate_multiplicity
174,58,87,1386,4878,23569380,51537611448,104546878582320,nonconstant_conjugate_multiplicity
174,58,116,1213,5051,25287097,62041599683,1933902444265,nonconstant_conjugate_multiplicity
174,87,87,867,5397,28902105,50710260573,148994809989597,nonconstant_conjugate_multiplicity
175,50,75,1800,4500,20023200,39366000000,75582720000000,nonconstant_conjugate_multiplicity
175,50,87,1660,4640,21302800,46528064000,63049460512000,nonconstant_conjugate_multiplicity
175,50,105,1510,4790,22717300,54807659000,14222714290000,nonconstant_conjugate_multiplicity
175,58,63,1676,4624,21154576,37340390656,121132649432320,nonconstant_conjugate_multiplicity
175,58,65,1646,4654,21432916,38878045336,123650947795024,nonconstant_conjugate_multiplicity
175,58,75,1520,4780,22621600,45612519040,124971025715200,nonconstant_conjugate_multiplicity
175,58,91,1376,4924,24018976,53867299456,96711167512576,nonconstant_conjugate_multiplicity
175,58,105,1286,5014,24913396,59336498296,50386031623504,nonconstant_conjugate_multiplicity
175,70,75,1220,5080,25579600,49755145600,170809266208000,nonconstant_conjugate_multiplicity
175,70,87,1136,5164,26440096,55021469824,145415647633408,nonconstant_conjugate_multiplicity
175,70,105,1046,5254,27377716,60906658744,82304607781456,nonconstant_conjugate_multiplicity
175,75,100,988,5312,27990544,58844976128,108708498497536,nonconstant_conjugate_multiplicity
175,75,116,932,5368,28588624,62675823232,39777329887744,nonconstant_conjugate_multiplicity
175,87,88,876,5424,29192976,51930070272,151326434884608,noninteger_multiplicity
175,87,100,834,5466,29650356,54832222728,109603550688048,nonconstant_conjugate_multiplicity
175,87,110,806,5494,29957236,56799103672,69142264520368,nonconstant_conjugate_multiplicity
175,87,112,801,5499,30012201,57153048147,60550596997173,nonconstant_conjugate_multiplicity
175,105,116,641,5659,31797481,45948595699,22996493072197,nonconstant_conjugate_multiplicity
176,44,60,2417,3919,15130465,20187807535,8116367487025,nonconstant_conjugate_multiplicity
176,44,66,2277,4059,16247385,25442562915,20578717331865,nonconstant_conjugate_multiplicity
176,44,70,2197,4139,16903225,28658539475,25561886019625,nonconstant_conjugate_multiplicity
176,44,75,2109,4227,17639433,32379804891,28281424694733,nonconstant_conjugate_multiplicity
176,44,77,2077,4259,17910985,33781472315,28339219924405,nonconstant_conjugate_multiplicity
176,44,80,2032,4304,18296320,35796884480,27384779161600,nonconstant_conjugate_multiplicity
176,44,84,1977,4359,18772785,38331237015,24273097598385,nonconstant_conjugate_multiplicity
176,44,88,1927,4409,19211185,40703821865,19201224322945,nonconstant_conjugate_multiplicity
176,50,56,2179,4157,17052553,23747082821,45365654171089,nonconstant_conjugate_multiplicity
176,50,63,2025,4311,18356625,30248670375,64607112604125,nonconstant_conjugate_multiplicity
176,50,66,1969,4367,18842593,32763823631,69747634984489,nonconstant_conjugate_multiplicity
176,50,72,1871,4465,19708129,37363695985,75003958751617,nonconstant_conjugate_multiplicity
176,50,77,1801,4535,20338129,40806515015,74764561391317,nonconstant_conjugate_multiplicity
176,50,84,1717,4619,21107065,45114073235,68276974782625,nonconstant_conjugate_multiplicity
176,50,88,1675,4661,21496825,47340961325,61721979115825,nonconstant_conjugate_multiplicity
176,50,98,1585,4751,22343905,52279552655,37611448052905,nonconstant_conjugate_multiplicity
176,50,99,1577,4759,22419985,52729648615,34658690534125,nonconstant_conjugate_multiplicity
176,55,55,1969,4367,18842593,27811645631,80085881325373,nonconstant_conjugate_multiplicity
176,55,56,1947,4389,19035225,28797216525,83633399474625,noninteger_multiplicity
176,55,70,1705,4631,21218065,40493765015,109137587408905,nonconstant_conjugate_multiplicity
176,55,77,1617,4719,22040865,45146035935,107804873639925,nonconstant_conjugate_multiplicity
176,55,80,1584,4752,22353408,46946946816,104910777151488,nonconstant_conjugate_multiplicity
176,55,88,1507,4829,23091145,51270193205,91354367560225,nonconstant_conjugate_multiplicity
176,55,110,1353,4983,24602193,60434785719,20357663382441,nonconstant_conjugate_multiplicity
176,55,112,1342,4994,24711940,61116272360,12001066382800,nonconstant_conjugate_multiplicity
176,56,60,1827,4509,20102985,33376452165,102289513421025,nonconstant_conjugate_multiplicity
176,56,66,1727,4609,21014785,38319156865,112654377204985,nonconstant_conjugate_multiplicity
176,56,75,1607,4729,22135345,44615963305,115025868966325,nonconstant_conjugate_multiplicity
176,56,80,1552,4784,22658560,47637923840,110627752345600,nonconstant_conjugate_multiplicity
176,56,88,1477,4859,23381785,51898906115,96595021503505,nonconstant_conjugate_multiplicity
176,56,100,1387,4949,24264505,57228776045,62441562145825,nonconstant_conjugate_multiplicity
176,56,110,1327,5009,24861985,60915375665,24541099494025,nonconstant_conjugate_multiplicity
176,70,80,1200,5136,26150400,52769318400,165998995660800,nonconstant_conjugate_multiplicity
176,70,88,1147,5189,26697625,56153412125,146524127112625,nonconstant_conjugate_multiplicity
176,70,106,1057,5279,27639745,62100809855,81838229492425,nonconstant_conjugate_multiplicity
176,70,110,1041,5295,27808929,63184859055,64460316477465,nonconstant_conjugate_multiplicity
176,77,80,1072,5264,27481600,52734752000,177767100928000,nonconstant_conjugate_multiplicity
176,77,88,1027,5309,27957385,55711504565,156606523593985,nonconstant_conjugate_multiplicity
176,77,90,1017,5319,28063665,56381745735,150391147685625,nonconstant_conjugate_multiplicity
176,77,99,977,5359,28490785,59094684415,118606192793005,nonconstant_conjugate_multiplicity
176,77,100,973,5363,28533673,59368801499,114729485281201,nonconstant_conjugate_multiplicity
176,77,110,937,5399,28921105,61859069495,72777985172425,nonconstant_conjugate_multiplicity
176,77,120,907,5429,29245945,63966351005,25944875958625,nonconstant_conjugate_multiplicity
176,80,80,1024,5312,27989248,52297957376,179963667939328,nonconstant_conjugate_multiplicity
176,80,84,1002,5334,28223460,53763839640,169880357581200,nonconstant_conjugate_multiplicity
176,80,88,982,5354,28437220,55109899880,158298592387600,nonconstant_conjugate_multiplicity
176,80,96,947,5389,28813225,57496453525,131294858844625,nonconstant_conjugate_multiplicity
176,80,105,914,5422,29169988,59782906936,95880642699568,nonconstant_conjugate_multiplicity
176,80,110,898,5438,29343748,60904229624,74314157653456,nonconstant_conjugate_multiplicity
176,80,112,892,5444,29409040,61326877760,65357675372800,nonconstant_conjugate_multiplicity
176,80,120,870,5466,29649060,62886657960,27859880981520,nonconstant_conjugate_multiplicity
176,88,88,877,5459,29572585,52483835915,155980965119665,nonconstant_conjugate_multiplicity
176,88,100,835,5501,30032905,55419852005,113974046021185,nonconstant_conjugate_multiplicity
176,88,110,807,5529,30341745,57409514505,73176525448425,nonconstant_conjugate_multiplicity
176,88,112,802,5534,30397060,57767544440,64508936646160,nonconstant_conjugate_multiplicity
176,100,112,694,5642,31604068,50349591656,51435935745040,nonconstant_conjugate_multiplicity
176,110,110,625,5711,32387425,42486556175,38856793459225,nonconstant_conjugate_multiplicity
176,110,112,622,5714,32421700,42704721800,31805535898000,nonconstant_conjugate_multiplicity
176,110,120,611,5725,32547529,43507303525,2711783721745,nonconstant_conjugate_multiplicity
177,44,59,2482,3890,14902708,18930622760,2501159640784,nonconstant_conjugate_multiplicity
177,44,76,2125,4247,17807617,33005106071,26900038301437,nonconstant_conjugate_multiplicity
177,44,84,2007,4365,18823833,38357913285,23305963657509,nonconstant_conjugate_multiplicity
177,48,59,2246,4126,16794484,24120084376,36323214794320,nonconstant_conjugate_multiplicity
177,59,59,1762,4610,21022708,34874852840,119238765804304,nonconstant_conjugate_multiplicity
177,59,66,1650,4722,22067892,40657496616,131715348705072,nonconstant_conjugate_multiplicity
177,59,88,1414,4958,24352372,54015962264,113152244019760,nonconstant_conjugate_multiplicity
177,59,96,1355,5017,24940897,57611379961,90871573574677,nonconstant_conjugate_multiplicity
177,59,118,1234,5138,26169652,65314194344,2067119481520,nonconstant_conjugate_multiplicity
177,66,74,1358,5014,24910804,49420330552,165860045177968,nonconstant_conjugate_multiplicity
177,66,111,1122,5250,27333108,64463553000,55143549304272,nonconstant_conjugate_multiplicity
177,66,118,1094,5278,27627892,66363228568,22236930137200,nonconstant_conjugate_multiplicity
177,88,89,886,5486,29866804,53731837016,158394176525200,noninteger_multiplicity
177,88,118,799,5573,30828937,59945913197,41803610576605,nonconstant_conjugate_multiplicity
178,59,89,1427,4981,24579673,55017859645,112942162695397,nonconstant_conjugate_multiplicity
178,59,102,1336,5072,25494496,60662986496,72606557148160,nonconstant_conjugate_multiplicity
178,89,89,887,5521,30250753,54298289665,163209963318277,nonconstant_conjugate_multiplicity
178,89,118,800,5608,31218976,60583717504,45705572577280,nonconstant_conjugate_multiplicity
179,89,90,896,5548,30548320,55574804224,165706642536448,noninteger_multiplicity
180,45,60,2508,3972,15543504,20273977728,4942335730176,nonconstant_conjugate_multiplicity
180,45,90,1971,4509,20097801,43550271189,21003037777161,nonconstant_conjugate_multiplicity
180,60,60,1792,4688,21744064,36683712512,127548672311296,nonconstant_conjugate_multiplicity
180,60,72,1613,4867,23454409,46408640923,143678313767905,nonconstant_conjugate_multiplicity
180,60,90,1434,5046,25228836,57069230616,119752673159376,nonconstant_conjugate_multiplicity
180,60,120,1255,5225,27067345,68699893625,2207095092625,nonconstant_conjugate_multiplicity
180,90,90,897,5583,30936609,56154087567,170687367965241,nonconstant_conjugate_multiplicity
181,45,68,2354,4162,17087668,27427863016,20928639873136,nonconstant_conjugate_multiplicity
181,90,91,906,5610,31237524,57459437640,173269417741776,noninteger_multiplicity
182,91,91,907,5645,31630153,58051695365,178418805448237,nonconstant_conjugate_multiplicity
